Day	Phase	Topic	Problem Title	Problem Statement (Do this today)	Key Concepts	Deliverable	Status	Time Spent (mins)	Difficulty	Confidence (1-5)	Notes / What I learned	Next Action
38	Phase 2: Automation & Tooling	Argparse	CLI: config-check	Build CLI: python config_check.py --config config.json Validate config contains: host(str non-empty), port(int 1..65535), timeout(float >0). Print 'OK' or list errors. Exit 0 if OK else 1.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day038_cli_config_check.py	Not started		Easy			
39	Phase 2: Automation & Tooling	Refactor	Module Split	Take Day 37 tool and split into: - parser.py (parse_line) - metrics.py (aggregate) - cli.py (argparse, printing) No business logic inside cli.py except orchestration.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day039_module_split/	Not started		Medium			
40	Phase 2: Automation & Tooling	Testing	pytest Starter Tests	Add pytest tests for: - classify_http (Phase 1 Day 2) - normalize_message (Phase 1 Day 9) - yaml validator (Day 33) Write parametrized tests and include boundary cases.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day040_pytest_basics/	Not started		Medium			
41	Phase 2: Automation & Tooling	Files	File Rotator	Write rotate_file(path, max_bytes, backups=3): If file size > max_bytes, rename path->path.1, path.1->path.2 ... up to backups. Create a demo that writes data until rotation triggers and shows backups exist.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day041_file_rotator/	Not started		Medium			
42	Phase 2: Automation & Tooling	Validation	JSON Schema-ish Validator	Validate JSON config against required keys + types without external libs. Input example: {"service":"auth","timeout":2.5,"retries":3}. Return list of errors, not exceptions (except for file read).	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day042_json_schema-ish_validator/	Not started		Medium			
43	Phase 2: Automation & Tooling	Strings	Log Redactor	Given text logs, redact patterns: - anything after 'token=' until space - anything after 'password=' until space Output redacted file; keep original unchanged (write new file).	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day043_log_redactor/	Not started		Medium			
44	Phase 2: Automation & Tooling	OS paths	Directory Inventory	Build a directory inventory script: - walk a directory - count files by extension - compute total bytes - print top 10 largest files (path + size).	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day044_directory_inventory/	Not started		Medium			
45	Phase 2: Automation & Tooling	Parsing	INI Parser	Parse a simple INI string (no configparser): [section] key=value Return dict {'section': {'key':'value'}}. Ignore blank lines and comments starting with #.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day045_ini_parser/	Not started		Easy			
46	Phase 2: Automation & Tooling	Security	Secret Scanner	Scan a code folder for suspected secrets: - lines containing 'AKIA' (AWS access key prefix) or 'SECRET=' Print filename:line_number:snippet (first 80 chars).	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day046_secret_scanner/	Not started		Medium			
47	Phase 2: Automation & Tooling	Reporting	Report Generator	Generate a Markdown report from JSON metrics: Input: {'service':{'error_rate':0.1,'avg_ms':120}} Output MD table sorted by error_rate desc.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day047_report_generator/	Not started		Medium			
48	Phase 2: Automation & Tooling	argparse	CLI Subcommands	Extend a CLI tool with subcommands: python ops.py inventory --dir . python ops.py redact --in a.log --out b.log python ops.py validate --config c.json	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day048_cli_subcommands/	Not started		Medium			
49	Phase 2: Automation & Tooling	errors	Exit Codes + Errors	Standardize exit codes: 0=success, 1=validation error, 2=file not found, 3=unexpected exception. Implement try/except in main and ensure codes match.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day049_exit_codes_+_errors/	Not started		Medium			
50	Phase 2: Automation & Tooling	YAML/K8s	Mini Tool: Deployment Audit	Mini tool: Deployment Audit (YAML): Check for: - missing livenessProbe/readinessProbe - missing resources.requests/limits - image uses :latest tag Output JSON report with findings.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day050_mini_tool_deployment_audit/	Not started		Medium			
51	Phase 2: Automation & Tooling	docs	Refactor + Docs	Refactor two earlier scripts into a package structure with docstrings and type hints. Add README with usage examples.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day051_refactor_+_docs/	Not started		Medium			
52	Phase 2: Automation & Tooling	tests	Test Coverage Push	Increase pytest coverage: add tests for rotate_file, redact, ini parser. Use tmp_path fixture.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day052_test_coverage_push/	Not started		Medium			
53	Phase 2: Automation & Tooling	packaging	Packaging: python -m	Make package runnable: add __main__.py so `python -m ops_toolkit` works. Provide help output.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day053_packaging_python_-m/	Not started		Medium			
54	Phase 2: Automation & Tooling	tooling	Makefile Runner	Create Makefile with targets: format, lint (basic), test, run-demo. Use simple commands.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day054_makefile_runner/	Not started		Medium			
55	Phase 2: Automation & Tooling	toolkit	Mini Project: Ops Toolkit	Mini project: Ops Toolkit v1: Combine inventory + redact + validate into one cohesive CLI with clean modules.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day055_mini_project_ops_toolkit/	Not started		Medium			
56	Phase 2: Automation & Tooling	review	Weekly Review: Rewrite 2 tools	Weekly review: Rewrite from memory one tool (inventory or redact) and compare with original. Note improvements.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day056_weekly_review_rewrite_2_tools/	Not started		Medium			
57	Phase 2: Automation & Tooling	ci	Add GitHub Actions CI	Add GitHub Actions CI: Run tests on push using python 3.12. Include badge in README.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day057_add_github_actions_ci/	Not started		Medium			
58	Phase 2: Automation & Tooling	ux	CLI UX Improvement	Improve CLI UX: Add --quiet, --json output option, and better help text + examples.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day058_cli_ux_improvement/	Not started		Medium			
59	Phase 2: Automation & Tooling	perf	Performance on Large File	Optimize large file processing: Redact a 200MB file line-by-line without loading into memory; measure runtime.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day059_performance_on_large_file/	Not started		Medium			
60	Phase 2: Automation & Tooling	release	Polish + Release Notes	Polish and write RELEASE_NOTES.md summarizing features, known limitations, and next steps.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day060_polish_+_release_notes/	Not started		Hard			
61	Phase 3: AWS & boto3 Ownership	EC2	List EC2 Instances (mockable)	Write list_ec2_instances(session, regions)->list[dict]. Return id,state,type,tags for each instance. If you can’t call AWS, write a stub that reads sample JSON response from file and processes it. Also implement group_by_state(instances)->dict and print counts.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day061_ec2_list.py	Not started		Medium			
62	Phase 3: AWS & boto3 Ownership	S3	S3 Bucket Inventory	List S3 buckets and for each bucket: - region - has_versioning (True/False/Unknown) - has_public_access_block (True/False/Unknown) Output a CSV report. If no AWS access, process provided sample JSON files and produce same report.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day062_s3_inventory.py	Not started		Medium			
63	Phase 3: AWS & boto3 Ownership	Lambda	Lambda Functions Metadata Report	Collect Lambda functions across regions: - function_name - runtime - memory_size - timeout - last_modified Write JSON report and a “top 10 highest memory” table in terminal. Handle pagination via NextMarker/NextToken as appropriate.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day063_lambda_report.py	Not started		Medium			
64	Phase 3: AWS & boto3 Ownership	IAM	Detect Admin-like Policies	Given IAM policy documents (JSON), detect statements that allow Action='*' and Resource='*'. Input: list of policy JSON docs (local fixtures ok). Output: list of risky policy names + statement snippets.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day064_iam_policy_audit.py	Not started		Medium			
65	Phase 3: AWS & boto3 Ownership	Tags	Tag Compliance Checker	Given resources (instances/functions/buckets) with tags, enforce required tags: {'Owner','Env','CostCenter'}. Output: - compliant_count - non_compliant list with missing tags - summary per resource type	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day065_tag_compliance.py	Not started		Easy			
66	Phase 3: AWS & boto3 Ownership	CloudWatch	Parse CloudWatch Log Events Export	Given a JSON file representing CloudWatch log events (timestamp,message), implement: - filter_errors(events)->events containing 'ERROR' - extract_request_ids(message)->list[str] (pattern 'request_id=...') Output a report: error_count, unique_request_ids, top 5 messages.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day066_cw_log_parse.py	Not started		Medium			
67	Phase 3: AWS & boto3 Ownership	Cost	Cost Explorer Daily Spend Parser (fixture)	Given a Cost Explorer response JSON (fixture), compute daily spend and: - total spend - top 3 days by spend - detect spike: day spend > 1.5 * average Output markdown report.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day067_cost_parser.py	Not started		Medium			
68	Phase 3: AWS & boto3 Ownership	STS	Assume Role Wrapper (mock)	Write assume_role_session(role_arn, session_name, external_id=None) returning a boto3 Session. If you cannot call STS, unit test the function by mocking boto3 client calls (pytest + monkeypatch).	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day068_assume_role_wrapper.py	Not started		Hard			
69	Phase 3: AWS & boto3 Ownership	DynamoDB	DynamoDB Item Upsert Logic (local)	Implement upsert_item(existing:dict|None, update:dict)->dict with rules: - never overwrite fields in protected set {'BestCost','BestTime','Graph'} unless update contains force=True - merge nested dicts shallowly Write 10 asserts for behavior.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day069_ddb_upsert_logic.py	Not started		Medium			
70	Phase 3: AWS & boto3 Ownership	SQS	SQS FIFO Message Builder	Build function build_fifo_message(body:dict, group_id:str, dedup_id:str)->dict payload for boto3 send_message. Validate lengths, ensure JSON serialization. Write CLI that reads body JSON file and prints payload.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day070_sqs_fifo_builder.py	Not started		Medium			
71	Phase 3: AWS & boto3 Ownership	ECR	ECR Image Tag Policy Check	Given list of image tags (strings), enforce policy: - disallow 'latest' - require semantic version x.y.z or gitsha-<7+hex> Output compliant vs non-compliant lists.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day071_ecr_tag_policy.py	Not started		Easy			
72	Phase 3: AWS & boto3 Ownership	Lambda	Lambda Memory Recommendation Buckets	Given Lambda metrics list: {name,avg_duration_ms,p95_ms,memory_mb}, recommend memory change using rule-of-thumb: - if p95_ms > 2000 => increase by 256MB - if avg_duration_ms < 200 and memory_mb > 512 => decrease by 128MB Output recommended changes table.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day072_lambda_memory_reco.py	Not started		Medium			
73	Phase 3: AWS & boto3 Ownership	CloudFormation	CFN Stack Status Tracker	Given a sequence of stack events (timestamp,status,reason), compute: - final status - time to complete (first->last) - list of failure reasons if any FAILED status present Output JSON summary.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day073_cfn_status_tracker.py	Not started		Medium			
74	Phase 3: AWS & boto3 Ownership	SSM	SSM Parameter Exporter (fixture)	Given list of parameters (Name,Type,Value), export to .env format: - convert '/' to '_' in names - if Type is SecureString, output placeholder '<secure>' Write output to file.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day074_ssm_to_env.py	Not started		Easy			
75	Phase 3: AWS & boto3 Ownership	KMS	KMS Key Policy Principal Validator	Given a KMS key policy JSON, detect invalid principals: - empty string - ARN not matching arn:aws:iam::\d{12}:(role|user)/... Return list of invalid principals and statement ids where found.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day075_kms_policy_validator.py	Not started		Hard			
76	Phase 3: AWS & boto3 Ownership	Networking	CIDR Overlap Checker	Given a list of CIDR blocks (e.g., VPC/subnet ranges), detect overlaps and output all overlapping pairs. You may use ipaddress module. Provide demo list with at least 6 CIDRs.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day076_cidr_overlap.py	Not started		Medium			
77	Phase 3: AWS & boto3 Ownership	Cost	Reserved Instance Coverage Calculator (toy)	Given on-demand hours per instance family and RI hours purchased, compute coverage % per family and overall. Output table and highlight families < 60% coverage.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day077_ri_coverage.py	Not started		Medium			
78	Phase 3: AWS & boto3 Ownership	Security	IAM Access Key Age Report	Given fixture list of access keys with create_date, compute key age in days and flag >90 days. Output CSV report with username,key_id,age_days,flag.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day078_key_age_report.py	Not started		Easy			
79	Phase 3: AWS & boto3 Ownership	Observability	Alarm Noise Detector	Given list of alarms with state_change_count and severity, identify top 10 noisiest alarms and recommend: - add period - adjust threshold - add composite alarm Output markdown report.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day079_alarm_noise.py	Not started		Medium			
80	Phase 3: AWS & boto3 Ownership	Multi-region	Region Fan-out Runner	Write function run_for_regions(regions, fn) that executes fn(region) for each region and collects successes/failures. Return dict {region: {'ok':bool,'result':..., 'error':...}}. Demonstrate with a fake fn that fails on one region.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day080_region_fanout.py	Not started		Medium			
81	Phase 3: AWS & boto3 Ownership	FinOps	Idle Resource Detector (rules)	Given resources with utilization metrics: EC2: cpu_avg RDS: connections_avg EBS: attached(bool) Flag idle rules: - EC2 cpu_avg<5% - RDS connections_avg<1 - EBS attached==False Output savings opportunities list sorted by estimated_monthly_cost desc.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day081_idle_detector.py	Not started		Hard			
82	Phase 3: AWS & boto3 Ownership	S3	S3 Lifecycle Policy Linter	Given lifecycle config JSON, validate: - expiration days present for noncurrent versions - transition days are increasing - no negative days Return list of errors.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day082_s3_lifecycle_linter.py	Not started		Medium			
83	Phase 3: AWS & boto3 Ownership	Lambda	Lambda Concurrency Risk Check	Given list of lambdas with reserved_concurrency and account concurrency limit, identify risk if sum reserved_concurrency > 80% of limit. Output warning with top consumers.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day083_lambda_concurrency_risk.py	Not started		Medium			
84	Phase 3: AWS & boto3 Ownership	Step Functions	SFN Execution Result Parser	Given a Step Functions execution history JSON (fixture), extract: - start_time, end_time - final status - failure cause (if failed) Return summary dict and print human-readable report.	boto3, pagination, IAM, retries, tagging, cost thinking	05_aws_boto3/day084_sfn_history_parser.py	Not started		Medium			
